Generation	Clone	Deme	Genotype	DriverGenotype	Parent	DriverParent	X	Y	NormalCells	Population	BirthRate	MigrationRate	DeathRate	MigrationModifier	DriverMutations	MigrationMutations	PassengerMutations	S1Mutations	S2Mutations	S3Mutations
10.013690	24	0	1961	32	1383	1	72	72	218	1	1.550333	0.000088	0.000000	0.574219	2	0	152	55	68	31
10.013690	25	0	1550	63	1536	1	72	72	218	1	1.433723	0.000088	0.000000	0.574219	2	0	155	51	73	33
10.013690	26	0	2080	3	1820	0	72	72	218	1	1.262540	0.000088	0.000000	0.574219	1	0	114	51	38	26
10.013690	27	0	1700	1	1687	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	107	44	50	14
10.013690	28	0	1574	14	1278	9	72	72	218	1	1.681001	0.000088	0.000000	0.574219	3	0	152	67	62	26
10.013690	29	0	1947	6	1853	4	72	72	218	1	1.407952	0.000088	0.000000	0.574219	3	0	135	55	51	32
10.013690	30	0	1841	4	1678	3	72	72	218	1	1.362411	0.000088	0.000000	0.574219	2	0	128	47	49	34
10.013690	31	0	1654	73	1497	62	72	72	218	1	1.496801	0.000088	0.000000	0.574219	4	0	126	53	50	27
10.013690	32	0	1232	49	1118	11	72	72	218	1	1.629305	0.000088	0.000000	0.574219	4	0	104	42	38	28
10.013690	33	0	2105	1	1951	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	136	54	52	31
10.013690	34	0	1584	14	1199	9	72	72	218	1	1.681001	0.000088	0.000000	0.574219	3	0	131	54	57	23
10.013690	35	0	1789	3	1685	0	72	72	218	1	1.262540	0.000088	0.000000	0.574219	1	0	100	43	31	27
10.013690	36	0	1762	67	1729	32	72	72	218	1	1.561099	0.000088	0.000000	0.574219	3	0	167	61	73	36
10.013690	37	0	1926	32	1903	1	72	72	218	1	1.550333	0.000088	0.000000	0.574219	2	0	173	70	73	32
10.013690	38	0	1955	1	1713	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	138	56	50	33
10.013690	39	0	2068	3	1764	0	72	72	218	1	1.262540	0.000088	0.000000	0.574219	1	0	139	56	47	37
10.013690	40	0	1894	38	1872	9	72	72	218	1	1.772483	0.000088	0.000000	0.574219	3	0	142	60	56	29
10.013690	41	0	1971	87	1779	1	72	72	218	1	1.443678	0.000088	0.000000	0.574219	2	0	122	47	51	26
10.013690	42	0	1387	1	1051	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	120	47	54	20
10.013690	43	0	2057	51	1799	1	72	72	218	1	1.500797	0.000088	0.000000	0.574219	2	0	129	49	57	25
10.013690	44	0	2058	6	1776	4	72	72	218	1	1.407952	0.000088	0.000000	0.574219	3	0	150	57	56	40
10.013690	45	0	1945	1	1812	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	157	69	53	36
10.013690	46	0	2049	32	1850	1	72	72	218	1	1.550333	0.000088	0.000000	0.574219	2	0	162	60	73	31
10.013690	47	0	2102	1	1668	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	147	57	61	30
10.013690	48	0	1675	65	1563	1	72	72	218	1	1.445840	0.000088	0.000000	0.574219	2	0	138	50	59	31
10.013690	49	0	2087	65	2009	1	72	72	218	1	1.445840	0.000088	0.000000	0.574219	2	0	142	51	58	35
10.013690	50	0	2000	32	1927	1	72	72	218	1	1.550333	0.000088	0.000000	0.574219	2	0	181	72	76	35
10.013690	51	0	1868	6	1471	4	72	72	218	1	1.407952	0.000088	0.000000	0.574219	3	0	141	60	54	30
10.013690	52	0	1549	20	1435	0	72	72	218	1	1.075048	0.000088	0.000000	0.574219	1	0	99	41	38	21
10.013690	53	0	1754	72	1751	11	72	72	218	1	1.580583	0.000088	0.000000	0.574219	4	0	122	47	44	35
