Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	S1(MeanNum)	S2(MeanNum)	S3(MeanNum)	VarS1	VarS2	VarS3	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
59.124489	235	4590	4356	0	111.119148	0.000000	83.534637	0.000000	9.629787	7.565958	0.000000	0.000000	953.728027	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	231	231	1	1	1	3469	1	6724	235	0	0	0	0	0	0	0	0	0	0
60.124767	281	4871	4591	0	113.722420	0.000000	102.243286	0.000000	10.192171	7.686833	0.032028	0.000000	1194.440674	26.711758	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	273	273	1	1	1	3691	1	7119	281	0	0	0	0	0	0	0	0	0	0
61.129662	284	5147	4864	0	115.503525	0.000000	97.390862	0.000000	10.556338	7.788733	0.088028	0.000000	1047.324219	64.799156	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	279	279	1	1	1	3911	1	7545	284	0	0	0	0	0	0	0	0	0	0
62.129925	292	5416	5125	0	117.441780	0.000000	108.623314	0.000000	10.599315	7.893836	0.068493	0.000000	1121.709106	46.630180	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	288	288	1	1	1	4113	1	7944	292	0	0	0	0	0	0	0	0	0	0
63.131149	312	5725	5414	0	120.974358	0.000000	106.089081	0.000000	10.698718	8.157051	0.032051	0.000000	1119.304810	25.679634	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	303	303	1	1	1	4334	1	8383	312	0	0	0	0	0	0	0	0	0	0
64.131348	324	6027	5704	0	123.848763	0.000000	114.375313	0.000000	10.614198	8.512345	0.046296	0.000000	1284.950439	34.305618	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	318	318	1	1	1	4576	1	8839	324	0	0	0	0	0	0	0	0	0	0
65.132607	342	6362	6021	0	126.070175	0.000000	112.796280	0.000000	11.228070	8.374269	0.070175	0.000000	1444.094238	60.315845	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	330	330	1	1	1	4821	1	9316	342	0	0	0	0	0	0	0	0	0	0
66.135551	366	6728	6363	0	128.398911	0.000000	106.715210	0.000000	11.500000	8.598361	0.035519	0.000000	1713.956787	34.537994	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	358	358	1	1	1	5095	1	9852	366	0	0	0	0	0	0	0	0	0	0
67.136208	365	7103	6739	0	129.909592	0.000000	98.630180	0.000000	11.983562	8.526028	0.035616	0.000000	1821.003052	34.537247	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	356	356	1	1	1	5371	1	10406	365	0	0	0	0	0	0	0	0	0	0
68.136398	366	7461	7096	0	132.461746	0.000000	111.210320	0.000000	11.819673	8.571038	0.057377	0.000000	1957.652466	55.795071	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	357	357	1	1	1	5625	1	10925	366	0	0	0	0	0	0	0	0	0	0
