Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	S1Mutations	S2Mutations	S3Mutations	BirthRate	MigrationRate	OriginTime	Descendants
1	22494	22892	775	7	0	0	437	168	167	109	3.180935	0.000088	19.982336	1
1	22672	22894	805	10	0	0	474	190	170	124	3.520433	0.000088	19.982597	1
1	21901	22929	825	10	0	0	514	200	186	138	3.849407	0.000088	19.988213	1
1	22720	22898	1033	11	0	0	513	203	181	140	3.610049	0.000088	19.984980	1
1	22810	22900	938	8	0	0	435	151	162	130	5.009449	0.000088	19.985046	1
1	22578	22902	628	7	0	0	469	178	169	129	4.674664	0.000088	19.985062	1
1	22602	22904	789	8	0	0	428	167	152	117	5.121121	0.000088	19.985106	1
1	22335	22906	926	9	0	0	450	167	165	127	4.894081	0.000088	19.986305	1
1	22871	22908	1006	10	0	0	494	209	174	121	5.309497	0.000088	19.986534	1
1	22744	22910	633	9	0	0	514	199	193	131	3.761056	0.000088	19.986713	1
1	22317	22912	628	7	0	0	454	172	165	124	4.674664	0.000088	19.986767	1
1	22382	22914	754	9	0	0	458	181	161	125	3.716587	0.000088	19.986879	1
1	22151	22916	930	13	0	0	547	223	190	147	5.234832	0.000088	19.986992	1
1	22745	22918	1029	10	0	0	423	163	157	113	4.015720	0.000088	19.987137	1
1	22506	22920	564	9	0	0	446	176	174	105	3.508739	0.000088	19.987730	1
1	22817	22922	628	7	0	0	459	172	166	128	4.674664	0.000088	19.987787	1
1	22641	22924	930	13	0	0	557	226	192	152	5.234832	0.000088	19.987839	1
1	19729	22926	358	8	0	0	518	205	180	141	3.365728	0.000088	19.988070	1
1	22855	22928	628	7	0	0	468	186	174	115	4.674664	0.000088	19.988152	1
1	21901	22930	825	10	0	0	517	199	189	139	3.849407	0.000088	19.988213	1
1	22878	22932	628	7	0	0	459	185	160	121	4.674664	0.000088	19.988483	1
1	21952	22934	628	7	0	0	452	172	162	125	4.674664	0.000088	19.988501	1
1	22697	22936	725	9	0	0	457	171	165	130	5.123222	0.000088	19.988506	1
1	22093	22938	950	11	0	0	445	178	174	104	3.936629	0.000088	19.988594	1
1	22872	22940	1006	10	0	0	501	211	179	121	5.309497	0.000088	19.989321	1
1	22031	22942	358	8	0	0	459	177	159	131	3.365728	0.000088	19.989607	1
1	21571	22944	964	9	0	0	428	159	154	124	4.801252	0.000088	19.989685	1
1	21862	22946	628	7	0	0	440	163	163	121	4.674664	0.000088	19.989956	1
1	22893	22948	805	10	0	0	475	191	170	124	3.520433	0.000088	19.990715	1
